onset	duration	response_time	response
60.06	0	4.250000000000004	SInd
176.615	0	3.260999999999991	SInd
241.061	0	4.497999999999997	SInd
319.538	0	2.20900000000002	SInd
392.763	0	2.9569999999999776	SInd
457.351	0	3.978000000000035	SInd
506.99	0	5.413000000000005	SDep
586.525	0	5.2940000000000556	SInd
650.012	0	3.1889999999999987	SDep
717.192	0	3.660000000000034	SInd
789.309	0	3.3090000000000055	SInd
864.9	0	3.2409999999999513	SInd
935.553	0	2.3349999999999635	SInd
988.189	0	3.667999999999911	SInd
1048.44	0	5.150999999999954	SInd
1126.242	0	3.6089999999999645	SInd
1202.637	0	5.4039999999999555	SInd
1265.187	0	4.404999999999936	SInd
1340.915	0	4.157999999999929	SDep
1392.168	0	3.0190000000000374	SInd
1450.525	0	4.44700000000013	SInd
1523.571	0	2.4259999999998807	SDep
1570.799	0	3.5859999999999856	SInd
1624.555	0	3.7880000000000336	SDep
1680.337	0	4.034999999999809	SInd
1735.41	0	3.6449999999999316	SDep
1802.573	0	2.680999999999881	SInd
1908.16	0	2.173000000000111	SInd
1955.277	0	2.927999999999888	SInd
2026.023	0	2.2440000000000464	SInd
2086.793	0	3.4639999999998645	SDep
2163.592	0	3.3429999999999747	SInd
2225.363	0	2.1590000000001237	SInd
2284.69	0	4.512000000000071	SInd
2358.98	0	2.7590000000000416	SInd
2425.589	0	2.7979999999997744	SInd
2478.985	0	4.016000000000059	SInd
2549.528	0	3.5690000000002327	SDep
2627.498	0	4.595999999999995	SInd
2676.955	0	3.171000000000131	SInd
2746.343	0	2.508000000000038	SDep
2804.603	0	3.4200000000001363	SInd
2878.687	0	1.8950000000003637	SDep
2941.093	0	4.223999999999869	SDep
3012.623	0	4.157000000000162	SInd
3073.958	0	3.0420000000000162	SInd
3135.388	0	3.018000000000038	SInd
3189.263	0	4.205000000000118	SDep
