onset	duration	response_time	response
44.866	0	2.927999999999997	Abs
110.574	0	3.6569999999999934	SInd
174.159	0	3.6469999999999883	SInd
235.618	0	4.829999999999985	SInd
311.377	0	4.450000000000012	SDep
376.757	0	2.4929999999999937	Abs
420.16	0	2.844999999999964	SInd
488.414	0	4.056000000000022	SDep
562.664	0	4.3869999999999525	SInd
614.516	0	3.013999999999926	SInd
684.72	0	3.1430000000000407	SInd
745.191	0	4.179999999999909	Abs
809.203	0	3.0410000000000172	SDep
873.729	0	3.1850000000000023	SInd
943.787	0	3.305000000000009	SInd
1005.976	0	3.695000000000002	SDep
1065.613	0	4.219000000000105	SDep
1120.891	0	3.8439999999999825	SInd
1179.154	0	4.476999999999871	SInd
1249.888	0	3.469000000000092	SInd
1309.477	0	4.398999999999941	SDep
1375.294	0	2.9900000000000637	SInd
1428.552	0	2.9579999999998607	SDep
1497.88	0	3.86899999999996	SInd
1558.2	0	2.6680000000001245	SDep
1631.68	0	3.0839999999999783	SDep
1706.159	0	3.6320000000001755	SInd
1773.424	0	3.411000000000145	SInd
1837.481	0	3.9490000000001193	SInd
1913.473	0	3.2650000000000454	SInd
1989.126	0	1.8909999999999036	Abs
2045.245	0	3.0739999999999874	SInd
2118.439	0	2.8010000000000037	SDep
2186.114	0	4.583000000000238	SInd
2247.307	0	5.058000000000038	SInd
2306.473	0	3.54800000000002	SInd
2365.301	0	4.707999999999893	Sens
2434.511	0	3.259000000000051	SInd
2504.934	0	2.6890000000001053	SInd
2562.45	0	2.9409999999998764	SInd
2635.675	0	4.311000000000022	SInd
2705.374	0	4.008000000000066	SDep
2766.347	0	3.735000000000082	SInd
2837.782	0	3.1109999999997218	SInd
2903.007	0	3.980000000000091	SDep
2966.317	0	3.91299999999992	SInd
3039.106	0	4.004000000000069	SDep
3108.465	0	3.9400000000001274	SInd
3182.296	0	4.815000000000027	SDep
3262.401	0	4.621999999999971	SInd
