onset	duration	response_time	response
37.318	0	3.2180000000000013	SDep
108.473	0	1.9309999999999978	SDep
166.07	0	3.3269999999999893	SInd
233.137	0	4.0030000000000125	SInd
287.407	0	2.9090000000000216	SInd
355.83	0	2.5259999999999643	SInd
416.714	0	3.529999999999978	SDep
494.951	0	3.2549999999999963	SDep
569.468	0	2.838000000000086	SInd
636.291	0	3.123000000000059	SDep
700.386	0	3.5070000000000574	SDep
776.195	0	3.234999999999957	SInd
851.272	0	3.9859999999999696	Sens
922.625	0	2.8660000000000605	Sens
996.677	0	2.1650000000000023	Abs
1053.471	0	2.2350000000000545	Sens
1112.8	0	2.031000000000008	Abs
1158.345	0	3.6199999999999544	SDep
1218.232	0	3.2270000000000802	Abs
1272.303	0	2.716000000000081	SDep
1342.05	0	2.1150000000001636	SDep
1399.592	0	1.950000000000082	SDep
1472.753	0	3.0570000000000026	SInd
1539.365	0	1.87500000000015	SDep
1599.367	0	2.330999999999967	SInd
1668.929	0	2.5780000000002063	SDep
1733.706	0	3.0300000000000273	Sens
1796.41	0	2.3900000000001453	Sens
1865.68	0	2.72800000000007	SDep
1933.607	0	3.050000000000009	SDep
2007.205	0	2.9750000000000774	SDep
2085.834	0	2.375000000000159	SInd
2150.854	0	1.9000000000001274	Abs
2214.036	0	1.918000000000111	SDep
2265.822	0	2.4189999999998872	SDep
2342.57	0	1.98299999999982	SDep
2398.58	0	2.9969999999998254	SInd
2454.735	0	2.2879999999997747	SInd
2529.453	0	3.3760000000001766	Sens
2602.094	0	2.898000000000147	SInd
2654.258	0	3.2069999999996344	Sens
2704.638	0	2.484999999999827	Abs
2768.571	0	2.5859999999999674	SDep
2822.313	0	2.257999999999802	SInd
2879.239	0	3.237999999999838	SInd
2949.327	0	1.98299999999982	SDep
3005.504	0	1.8850000000003728	SDep
3068.074	0	2.673999999999887	Sens
3119.102	0	1.7350000000000454	Abs
3185.371	0	3.340000000000209	Sens
