onset	duration	response_time	response
37.328	0	7.180000000000008	SDep
112.699	0	3.502000000000004	SDep
173.227	0	3.3439999999999737	Sens
282.983	0	4.035999999999982	SDep
354.269	0	3.0460000000000127	SDep
416.192	0	4.601000000000048	SDep
492.34	0	3.296000000000017	SDep
568.578	0	3.7420000000000755	SInd
638.241	0	3.909999999999923	SDep
704.332	0	3.945000000000007	SDep
782.516	0	3.944000000000008	SInd
858.74	0	3.7239999999999758	SDep
928.76	0	3.48200000000008	SInd
1003.822	0	3.3750000000000613	SInd
1074.457	0	4.7060000000001265	SDep
1135.979	0	3.3680000000001837	SDep
1194.506	0	3.4429999999998837	Sens
1257.128	0	4.428000000000147	Sens
1325.459	0	3.658000000000152	SInd
1400.471	0	3.271999999999807	SInd
1461.6	0	2.6410000000001492	SDep
1537.261	0	5.878999999999987	Abs
1595.068	0	4.170999999999918	SDep
1657.402	0	3.239000000000069	SInd
1730.496	0	5.384999999999973	SInd
1799.12	0	4.195999999999895	Sens
1863.483	0	4.485000000000095	SInd
1936.765	0	4.260999999999836	Sens
2005.285	0	3.1170000000001803	SInd
2077.963	0	2.68400000000011	Sens
2157.964	0	4.256999999999607	SInd
2224.587	0	2.452000000000089	SInd
2300.316	0	4.412999999999929	Sens
2359.237	0	6.241999999999889	SInd
2440.418	0	3.866999999999962	SDep
2500.684	0	2.5320000000000165	SInd
2558.297	0	4.341999999999762	SDep
2635.549	0	5.502000000000098	SDep
2708.484	0	3.492000000000071	SInd
2763.807	0	2.096999999999716	SInd
2811.317	0	4.258000000000302	SDep
2887.769	0	2.9799999999996087	SDep
2943.556	0	2.7859999999997855	SDep
3002.472	0	4.645999999999949	Sens
3125.128	0	2.683999999999878	SDep
3188.054	0	3.949000000000351	SInd
3242.691	0	2.5010000000002766	SDep
3320.883	0	2.903999999999678	SInd
