onset	duration	state
24.4421568627451	5	MB  
46.9196078431373	5	Sens
80.8995098039216	5	SInd
113.350490196078	5	Sens
150.83137254902	5	SInd
186.055392156863	5	SDep
218.016666666667	5	SInd
241.892647058824	5	Sens
278.59068627451	5	SInd
309.428921568627	5	SInd
341.912745098039	5	SInd
376.787745098039	5	SInd
413.795588235294	5	SInd
448.045098039216	5	SInd
475.399019607843	5	SDep
505.892156862745	5	Sens
543.862254901961	5	MB  
576.338235294118	5	SInd
606.28431372549	5	SInd
643.505392156863	5	SInd
667.252941176471	5	Sens
696.547549019608	5	SInd
732.676960784314	5	SInd
756.737745098039	5	SInd
782.230392156863	5	MB  
804.167647058823	5	SInd
832.504411764706	5	SInd
865	5	SDep
894.225980392157	5	Sens
920.638725490196	5	Sens
944.511764705882	5	SInd
980.584803921569	5	MB  
1006.14411764706	5	Sens
1044.50196078431	5	SDep
1075.77941176471	5	SInd
1106.66421568627	5	SDep
1145.01176470588	5	SInd
1177.60735294118	5	SInd
1204.45	5	Sens
1239.13578431373	5	SInd
1275.06323529412	5	SInd
1299.09901960784	5	MB  
1328.14852941176	5	SInd
1356.75588235294	5	Sens
1392.31421568627	5	SInd
1424.17254901961	5	SInd
1457.74264705882	5	SInd
1489.06470588235	5	SInd
1517.9112745098	5	SDep
1545.93039215686	5	SDep
